,Age,MonthlyIncome,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Human Resources,Life Sciences,Marketing,Medical,Other,Technical Degree,AgeMinMax,AgeStand
34,24,2293.0,1,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,3020.0,2,Yes,16.0,3.0,1,1,6,2,2,2,0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,-1.4200836405134467
35,43,2645.0,0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,21923.0,1,No,12.0,3.0,4,2,6,3,2,5,3,1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.5952380952380951,0.6656080085838405
36,50,2683.0,1,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,3810.0,1,Yes,14.0,3.0,3,0,3,2,3,3,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.7619047619047619,1.434020721409157
37,35,2014.0,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,9687.0,1,No,13.0,3.0,1,0,2,3,3,2,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
38,36,3419.0,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,13072.0,9,Yes,14.0,3.0,4,1,6,3,4,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
39,33,5376.0,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,3193.0,2,No,19.0,3.0,1,2,10,3,3,5,3,1,3,0.0,1.0,0.0,0.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
40,35,1951.0,0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,10910.0,1,No,12.0,3.0,3,1,1,3,3,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.4047619047619047,-0.21257794893080678
41,27,2341.0,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,19715.0,1,No,13.0,3.0,4,1,1,6,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.21428571428571425,-1.090763906445454
42,26,2293.0,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,10558.0,1,No,12.0,3.0,3,0,1,2,2,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.19047619047619052,-1.2005371511347849
43,27,8726.0,0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,2975.0,1,No,15.0,3.0,4,0,9,0,3,9,8,1,7,0.0,1.0,0.0,0.0,0.0,0.0,0.21428571428571425,-1.090763906445454
44,30,4011.0,0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,10781.0,1,No,23.0,4.0,4,0,12,2,3,12,8,3,7,0.0,0.0,0.0,1.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
45,41,19545.0,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,16280.0,1,No,12.0,3.0,4,0,23,0,3,22,15,15,8,0.0,0.0,0.0,0.0,0.0,1.0,0.5476190476190477,0.44606151920517867
46,34,4568.0,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,10034.0,0,No,20.0,4.0,3,0,10,2,3,9,5,8,7,0.0,0.0,1.0,0.0,0.0,0.0,0.380952380952381,-0.3223511936201377
47,37,3022.0,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,10227.0,4,No,21.0,4.0,1,0,8,1,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
48,46,5772.0,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,20445.0,4,Yes,21.0,4.0,3,0,14,4,3,9,6,0,8,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666665,0.9949277426518331
49,35,2269.0,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,4892.0,1,No,19.0,3.0,4,0,1,2,3,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
50,48,5381.0,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,19294.0,9,Yes,13.0,3.0,4,0,23,2,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857142,1.214474232030495
51,28,3441.0,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,11179.0,1,Yes,13.0,3.0,3,0,2,3,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,1.0,0.23809523809523808,-0.9809906617561232
52,44,5454.0,0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,4009.0,5,Yes,21.0,4.0,3,1,9,2,2,4,3,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.6190476190476188,0.7753812532731714
53,35,9884.0,0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,8302.0,2,Yes,13.0,3.0,3,1,10,3,3,4,0,2,3,0.0,0.0,0.0,1.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
54,26,4157.0,0,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,21436.0,7,Yes,19.0,3.0,3,1,5,2,2,2,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.19047619047619052,-1.2005371511347849
55,33,13458.0,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,15146.0,1,Yes,12.0,3.0,3,0,15,1,3,15,14,8,12,0.0,1.0,0.0,0.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
56,35,9069.0,0,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,11031.0,1,No,22.0,4.0,4,1,9,3,2,9,8,1,8,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
57,35,4014.0,0,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,16002.0,3,Yes,15.0,3.0,3,1,4,3,3,2,2,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
58,31,5915.0,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,9528.0,3,No,22.0,4.0,4,1,10,3,2,7,7,1,7,0.0,1.0,0.0,0.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
59,37,5993.0,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,2689.0,1,No,18.0,3.0,3,1,7,2,4,7,5,0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
60,32,6162.0,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,10877.0,1,Yes,22.0,4.0,2,1,9,3,3,9,8,7,8,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,-0.5418976829987995
61,38,2406.0,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,5456.0,1,No,11.0,3.0,4,0,10,2,3,10,3,9,9,0.0,1.0,0.0,0.0,0.0,0.0,0.4761904761904761,0.11674178513718594
62,50,18740.0,0,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,16701.0,5,Yes,12.0,3.0,4,1,29,2,2,27,3,13,8,0.0,0.0,0.0,1.0,0.0,0.0,0.7619047619047619,1.434020721409157
63,59,7637.0,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,2354.0,7,No,11.0,3.0,4,0,28,3,2,21,16,7,9,0.0,1.0,0.0,0.0,0.0,0.0,0.976190476190476,2.421979923613135
64,36,10096.0,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,8202.0,1,No,13.0,3.0,2,3,17,2,3,17,14,12,8,0.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,-0.10280470424147588
65,55,14756.0,0,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,19730.0,2,Yes,14.0,3.0,3,3,21,2,3,5,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.8809523809523809,1.9828869448558113
66,36,6499.0,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,22656.0,1,No,13.0,3.0,3,0,6,3,3,6,5,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
67,45,9724.0,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,18787.0,2,No,17.0,3.0,3,1,25,2,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.6428571428571428,0.8851544979625023
68,35,2194.0,0,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,5868.0,4,No,13.0,3.0,4,1,5,2,2,3,2,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
69,36,3388.0,1,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,21777.0,0,Yes,17.0,3.0,1,1,2,0,2,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
70,59,5473.0,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,24668.0,7,No,11.0,3.0,4,0,20,2,2,4,3,1,3,0.0,1.0,0.0,0.0,0.0,0.0,0.976190476190476,2.421979923613135
71,29,2703.0,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,4956.0,0,No,23.0,4.0,4,1,6,3,3,5,4,0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
72,31,2501.0,0,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,18775.0,1,No,17.0,3.0,2,0,1,4,3,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
73,32,6220.0,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,7346.0,1,No,17.0,3.0,2,2,10,3,3,10,4,0,9,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.5418976829987995
74,36,3038.0,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,22002.0,3,No,12.0,3.0,2,0,5,3,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
75,31,4424.0,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,20682.0,1,No,23.0,4.0,4,0,11,2,3,11,7,1,8,0.0,1.0,0.0,0.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
76,35,4312.0,0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,23016.0,0,No,14.0,3.0,2,0,16,2,3,15,13,2,8,0.0,0.0,1.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
77,45,13245.0,0,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,15067.0,4,Yes,14.0,3.0,2,0,17,3,4,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.6428571428571428,0.8851544979625023
78,37,13664.0,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,25258.0,4,No,13.0,3.0,1,0,16,3,4,5,2,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
79,46,5021.0,0,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,10425.0,8,Yes,22.0,4.0,4,1,16,2,3,4,2,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666665,0.9949277426518331
80,30,5126.0,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,15998.0,1,Yes,12.0,3.0,3,2,10,1,2,10,8,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
81,35,2859.0,0,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,26278.0,1,No,18.0,3.0,1,0,6,3,3,6,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
82,55,10239.0,0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,18092.0,3,No,14.0,3.0,4,1,24,4,3,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,1.9828869448558113
83,38,5329.0,0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,15717.0,7,Yes,12.0,3.0,4,3,17,3,3,13,11,1,9,0.0,0.0,0.0,1.0,0.0,0.0,0.4761904761904761,0.11674178513718594
84,34,4325.0,0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,17736.0,1,No,15.0,3.0,3,0,5,2,3,5,2,1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.380952380952381,-0.3223511936201377
85,56,7260.0,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,21698.0,4,No,11.0,3.0,1,0,37,3,2,6,4,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619047,2.092660189545142
86,23,2322.0,0,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,9518.0,3,No,13.0,3.0,3,1,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.11904761904761901,-1.5298568852027776
87,51,2075.0,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,18725.0,3,No,23.0,4.0,2,2,10,4,3,4,2,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.7857142857142856,1.5437939660984878
88,30,4152.0,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,15830.0,1,No,19.0,3.0,1,3,11,3,3,11,10,10,8,0.0,1.0,0.0,0.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
89,46,9619.0,1,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,13596.0,1,No,16.0,3.0,4,0,9,3,3,9,8,4,7,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666665,0.9949277426518331
90,40,13503.0,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,14115.0,1,No,22.0,4.0,4,1,22,3,2,22,3,11,11,0.0,1.0,0.0,0.0,0.0,0.0,0.5238095238095237,0.33628827451584775
91,51,5441.0,0,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,8423.0,0,Yes,22.0,4.0,4,0,11,2,1,10,7,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.7857142857142856,1.5437939660984878
92,30,5209.0,0,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,19760.0,1,Yes,12.0,3.0,2,3,11,4,2,11,8,2,7,0.0,0.0,0.0,1.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
93,46,10673.0,0,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,3142.0,2,Yes,13.0,3.0,3,1,21,5,2,10,9,9,5,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666665,0.9949277426518331
94,32,5010.0,0,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,24301.0,1,No,16.0,3.0,1,0,12,0,3,11,8,5,7,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,-0.5418976829987995
95,54,13549.0,0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,24001.0,9,No,12.0,3.0,1,1,16,5,1,4,3,0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.857142857142857,1.8731137001664804
96,24,4999.0,0,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,17519.0,0,No,21.0,4.0,1,1,4,2,2,3,2,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.14285714285714285,-1.4200836405134467
97,28,4221.0,0,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,8863.0,1,No,15.0,3.0,2,0,5,3,4,5,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.23809523809523808,-0.9809906617561232
98,58,13872.0,0,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,24409.0,0,No,13.0,3.0,3,0,38,1,2,37,10,1,8,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809523,2.312206678923804
99,44,2042.0,0,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,25043.0,4,No,12.0,3.0,3,1,17,3,4,3,2,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.6190476190476188,0.7753812532731714
